Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,repo,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,source_file,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Vicnum-BasicCTF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/threat-model-cookbook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Maturity-Models-UI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OWASPBugBounty,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OWASPWebGoatPHP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OWASP-Learning-Gateway,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/QRLJacking,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecEurope2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/MASTG-Hacking-Playground,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/joomscan,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Maturity-Models-API,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/masvs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/igoat,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Top10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/SAMM-TOOL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/VirtualVillage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Go-SCP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/mastg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Maturity-Models-OwaspSAMM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Maturity-Models-OWASP-ASVS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,blocks/index,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-summit-2017,,,,,,,,index.md,,,,,,OWASP Summit 2017,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/appsec-template,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Nettacker,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/wstg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecEurope2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Threat-Modeling-Templates,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/github-template,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Threat-Modeling-Lightweight-Process,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/sonarqube,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSec-Israel-2017,,,,,,,,index.md,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-summit-2017-site,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-summit-2017-Outcomes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/german-owasp-day,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/SecureCodingDojo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-avatao,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Threat-Modeling-Cheat-Sheets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Threat-Modeling-Tools,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Application-Security-Guide-For-CISOs-Project-v2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Vulnerability-Reporting-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Threat-Model-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSec-Designer-Rule-Sets-for-Threat-Countermeasures-and-Security-Functional-Requirements,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/url-classifier,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/lapse-plus,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Top-5-Machine-Learning-Risks,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/RiskAssessmentFramework,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/user-security-stories,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/SecureTea-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSec-Israel-2018,,,,,,,,index.md,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecUSA2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/iGoat-Swift,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/A-D-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Honeypot-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/pytm,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-norway-day-2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-halifax,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/WIA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Python-Honeypot,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Attack-Surface-Detector,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OWASP-Books,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-swag,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/java-safe-xml,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Serverless-Top-10-Project,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Application-Security-Curriculum,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Docker-Security,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Cloud-Native-Application-Security-Top-10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Cloud-Security-Mentor,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Software-Security-5D-Framework,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Revelo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Serverless-Goat,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/SEDATED,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/CheatSheetSeries,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Auth,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/DVSA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/open-letters-to-owasp,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecTLV2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/API-Security,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Blockchain-Security-Framework,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Intelligent-Intrusion-Detection-System,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Secure-Headers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecAms2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Container-Security-Verification-Standard,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-cstg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Lock-It,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Vulnerable-Web-Application,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/D4N155,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/packman,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Top-10-Card-Game,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/AppSecDC2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/community-docs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Jupiter,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Secure-Coding-Dojo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/secureCodeBox,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-a1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Security-Integration-System,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-i1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Software-Composition-Security,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-a3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-a2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-i2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-crackme-licenses,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-playground-java,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-playground-ios,,,,,,,,,,,,,,,,,,
,,,,True,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,"Harold Blankenship, Ulysses Four Suspender, Email Tester 6, Email Tester 11, Email Tester 14",2,,,,,,,OWASP-Austin-Chapter,,,,,,,Flagship,,,,OWASP/www-projectchapter-example,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Project-Chapter Example,example,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,,OWASP/www-staff,,,,,,,,"index.md, info.md",,,,,,Staff Information and Procedures,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/GlobalAppSecHome,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/owasp-mstg-playground-kotlin,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,home,,,,,,,,,,,,/,,,,,,,,,OWASP/owasp.github.io,,,,,,,,index.md,False,,,,"Application Security, Cyber Security, Information Security, Web, Cloud, Vulnerability Assessment","OWASP Foundation, the Open Source Foundation for Application Security",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/wpBullet,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Voice-Automated-Application-Security,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/www--site-theme,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/video-portal,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/IOT-Analytics-4Industry4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Mobile-Threatmodel,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/2020-appseccalifornia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/template_event_site,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder",,,"https://github.com/zaproxy/zaproxy/, https://github.com/zaproxy/zap-extensions/, https://github.com/zaproxy/zap-hud/, https://github.com/zaproxy/community-scripts",,,,,https://www.zaproxy.org/download/,,,col-sidebar,,"Simon Bennetts (psiinon), Ricardo Pereira (thc202), Rick Mitchell (kingthorin)",4,Apache 2.0,,,,,,,,,"Zed Attack Proxy (ZAP) is one of the world’s most popular free security tools and is actively maintained by a dedicated international team of volunteers. Great for pentesters, devs, QA, and CI/CD integration.",,,True,Flagship,,,,OWASP/www-project-zap,Tool,True,,,,,,"index.md, info.md, leaders.md",,,,,zap,OWASP ZAP,tool,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/PageCreator,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Security-Busters,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Damn-Vulnerable-Crypto-Wallet,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Patton,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/ThreatSpec,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Software-Component-Verification-Standard,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder",,,https://github.com/owasp-amass,,,,,,,,col-sidebar,,,4,Apache 2.0,,,,,,,,,An open source framework that helps information security professionals perform network mapping of attack surfaces and external asset discovery using open source intelligence gathering and reconnaissance techniques!,,,True,Flagship,,,,OWASP/www-project-amass,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,owasp amass dns asm osint recon asset-discovery network-security builders,OWASP Amass,tool,,,
,,,,,,,,,,,,,#,,,col-sidebar,,Michael Bergman,2,,,,,,,,,,SCAT functions as a process integrity tool to overlay the SDLC and implement these esential security components.,,,True,,,,,OWASP/www-project-security-integration-system,,,,,,,,"index.md, info.md, leaders.md",,,,,SCAT,OWASP Security Integration System,documentation,,,
,,,,,,,,,,,,,#,,,col-sidebar,,"Timo Pagel, Aryan Prasad",3,,,,,,,,,,,,,,Lab,,,,OWASP/www-project-devsecops-maturity-model,,,,,,,,"index.md, info.md, leaders.md",,,,,"builder, documentation",OWASP Devsecops Maturity Model,documentation,,,
